Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Condition
House,Stone,305 sq.m.,2,5,1,Not available,No Renovation,2474 sq.m.,Tavush › Achajur,"$8,500",USD,"(Code 7/12) A private house is for sale in Achajur village of Ijjan city, the area is 305.8 sq. M., and the size of the land is 2474 sq. M., it has electricity, gas is available, it has an orchard. There are also 2 plots of land with the private house: 1947 sq / m plot (grassland), 2147 sq / m plot (arable land), the price of the 3 properties together is 10 000 USD, and only the private house is 8500 USD. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with a real estate agency. Do not write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address by phone. We hope you will understand. We do not work with citizens who do not call or do not answer calls. I repeat once again, no address is provided by phone.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/13737851,
House,Stone,300 sq.m.,2,3,1,,Partial Renovation,400 sq.m.,"Orjonikidze Street, Dilijan station","$35,000",USD,"A stone house for sale in picturesque Dilijan. It is located in nature, under the forest. It has communal facilities (except gas) The second floor is made of wood. Price is negotiable. For more information callTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17600585,
House,Stone,100 sq.m.,1,4,2,Not available,Major Renovation,380 sq.m.,Tavush › Dilijan,"$140,000",USD,"Code 1219,A newly renovated private house is for sale in one of the elite districts of picturesque Dilijan.Kitchen connected to the living room,3 bedrooms, one of which has its own bathroom, one bathroom,all communications are available (gas, electricity, water ․․․)In the yard there is a summer kitchen, a pavilion, from where a wonderful view of nature opens,The house is for sale with furniture, appliances,the land is completely flat,The road is asphalted and illuminatedTranslated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/17846482,
House,Stone,551 sq.m.,3,8+,3+,2 spots,Designer Renovation,4900 sq.m.,Tavush › Ijevan,"$6,200,000",USD,"Կոդ` B-18313Վաճառվում է 3 հարկանի շքեղ առանձնատուն Իջևան քաղաքում։ Առանձնատունը կապիտալ վերանորոգված է (բնակելի մակերեսը՝ 551քմ) ։ Մուտքի դուռը՝ փայտյա, պատուհանները՝ եվրո, հատակը՝ մանրահատակ, գրանիտ, սալիկ, սանհանգույցները՝ նորաոճ սալիկապատ։ Ունի 5 բաց լոջա, խոհանոցի կահույք, 2 բուխարի (տանը և բակում), բարեկարգ բակ բուսական և ծաղկային դեկորացիաներով, դեկորատիվ շինություններով, տաղավար, ավտոտնակ, տնտեսական շինություն (514քմ), օդորակիչներ, անվտանգության և ջեռուցման համակարգեր, մշտական ոռոգման և խմելու ջուր, գազ։ Գինը ներառում է նաև 2 գյուղատնտեսական նշանակության հողատարածք Լուսահովիտ գյուղում (2.4հա և 3հա) ։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A 3-storey house for sale in Ijevan City․ The house is newly renovated (living space is 551sq. M) The entrance door is wooden, the windows are euro-based, the floor is covered by parquet, granite and is tiled, the bathrooms are modern tiled. The house has 5 balconies, kitchen furniture, 2 fireplaces (at home and in the yard), well-maintained yard with floral decorations, decorative buildings, pavilion, garage, economic building (514 sq. M.), air conditioners, security and heating systems. The house is supplied with constant irrigation and drinking water and gas. The price also includes 2 agricultural plots in Lusahovit Village (2.4 ha and 3 ha)The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/14821450,
House,Stone,840 sq.m.,3,8+,1,,Old Renovation,541 sq.m.,"Kalinini street, Dilijan station","$78,000",USD,"Private house for sale in Dilijan (299 sq. M.), for sale together with land with fruit trees (541 sq. M.)It is gasified / provided with all communication facilitiesThe balcony offers a wonderful view of the beautiful mountains and forests of Dilijan. It has two entrances, only five of the rooms are renovated, the place is suitable for those who intend to open a hotel business.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/16576786,
House,Stone,98 sq.m.,3,4,1,1 spot,Old Renovation,750 sq.m.,Tavush › Dilijan,"$70,000",USD,"Վաճառվում է 3 հարկանի տուն սեփական հողատարածքով Դիլիջանի գեղատեսիլ տարածքում։ Տունը գտնվում է Դիլիջանի հայտնի«Կոմպոզիտորների ստեղծագործական տան» տարածաշրջանում:Տան տակ կա մեկ մեքենայի համար նախատեսված ավտոտնակ։Հետևում հողատարածքը վեր է բարձրանում դեպի անտառ։ Իսկ արջևի հողատարածքը կցված է գետին և գլխավոր ճանապարհին։ Հողատարածքները ունեն պտղատու ծառեր։3-րդ հարկը բաղկացած է բաց պատշգամբից, որից բացվում է հիանալի տեսարան դեպի սարեր։Հասցե` Վասիլևի 96, ԴիլիյանПродается 3-х этажный дом со своим земельным участком в живописном районе Дилижана. Имеется гараж на одну машину под площадкой дома. Недалеко находится знаменитый ""Дом Творчества Композитиров"" Дилижана.Сзади, к дому прилегает свой земельный участок, который переходит в гору с лесным массивом. А передний земельный учаток прилегает к речке, главной дороге и горе с лесным массивом. Имеются плодовые деревья.3-й этаж состоит из открытой веранды, из которой, с 2-х сторон, открывается чудесный вид на горы и леса.Адрес: Улица Василева 96",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18006573,
House,Stone,700 sq.m.,2,4,1,,No Renovation,500 sq.m.,Tavush › Ijevan,"$60,000",USD,Село Гандзакар 2 этажный дом построен в 1990 ом году и никто не проживал после окончания стройки нужен ремонт косметический вода у дома в дом не проведена электричество проведено остальные вопросы по телефону,Nov-25-2022_00-20,,,,,https://list.am/en/item/17887281,
House,Stone,600 sq.m.,3,5,3+,Not available,Designer Renovation,600 sq.m.,"Улица Саят-Новы 50, Дилижан","$480,000",USD,"Newly built house. It has 5 bedrooms, all bedrooms with their own bathrooms, a living room with a fireplace, a game room, a pavilion for 15-20 people, each room is heated by a separate heating system. The house is sold with all the property and equipment.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18265940,
House,Stone,1000 sq.m.,2,5,1,1 spot,Old Renovation,300 sq.m.,Tavush › Movses,"$24,000",USD,"Call for details, negotiableTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18259245,
Country House,Monolith,550 sq.m.,2,4,1,,No Renovation,550 sq.m.,Tavush › Dilijan,"$55,000",USD,"Very urgent private house for sale in Dilijan, first line, very suitable for summer guesthouse cafe or gineta, on the side of the main road, great view, right next to the forest, the river passes in front, expansion is possible $55000, exchange is also possible with an additional fee#hotel #summer #house #dacha #dilijan #hotel #hyuratun #amaranoc #dacha #dacha #dilijan #dilijan #hostel #hyuratunTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/15837677,
House,Stone,900 sq.m.,1,5,1,,Partial Renovation,1000 sq.m.,Tavush › Dilijan,"$60,000",USD,House in the beautiful nature of DilijanNegotiable:Translated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/16217023,
House,Stone,120 sq.m.,1,6,1,,Old Renovation,580 sq.m.,"Sayat-Nova Street, Dilijan station","$60,000",USD,The house and the land together are 700 square meters.Translated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/17278053,
House,Stone,450 sq.m.,2,4,1,2 spots,Partial Renovation,200 sq.m.,Tavush › Dilijan,"$35,000",USD,"Call for details, + there is also a 200 m plot of land. It is located in Haghartsin village; For sale very urgentlyPrice is negotiableTranslated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17165011,
House,Stone,300 sq.m.,2,4,2,,Partial Renovation,3000 sq.m.,Tavush › Ijevan,"$50,000",USD,"The house is newly built.It has a large orchard, a separate barn, a bakeryարան Wonderful view of the city of Ijan. It also has a half-built garage.The house is not inhabited, but there are all the conditions (gas, electricity, water)The road to the gate is paved.For more information call.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17690729,
House,Stone,1400 sq.m.,2,8+,2,1 spot,Partial Renovation,,"Kalinini street, Dilijan station","$140,000",USD,"House with a commercial area on the first line, adjacent to the international school, the commercial area is functioning, the house is partially renovated, it is convenient to change it into a guest house, build cottages, etc.Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/14484168,
Country House,Wooden,2400 sq.m.,2,3,2,,Designer Renovation,1900 sq.m.,"Kamo Street, Dilijan station","$1,200,000",USD,"Newly built wooden 4 for saleprivate house, equipped with furniture and equipment, like a 2-storey stone administrative building.Works as an operating guest house.* 24 hour security video surveillance system* parking for 10 cars* Individual heating systems in all private houses*interior design* high quality furniture and equipment* Fireplace* Individual pool and sauna* Children's playground#house:#dilijan:Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17945313,
House,Stone,325 sq.m.,3,8+,1,1 spot,Cosmetic Renovation,600 sq.m.,"26 Commissars Street, Dilijan station","$300,000",USD,"3 հարկանի քարե տուն Դիլիջանի սրտումBAXI ջեռուցման համակարգ, wi-fi, կոմունալ բոլոր հարմարություններովՈւնի առանձին ավտոտնակ1-ին հարկում կա նկուղ և երկու սենյակ2-րդ հարկում գտնվում է խոհանոց, սանհանգույց, հյուրասենյակ և 2 ննջարան3-րդ հարկում հյուրասրահ, 2 ննջարանՄԱՆՐԱՄԱՍՆ ՏԵՂԵԿՈՒԹՅՈՒՆՆԵՐԻ ՀԱՄԱՐ ԶԱՆԳԱՀԱՐԵԼ ՕՐՎԱ ՑԱՆԿԱՑԱԾ ՊԱՀԻՆՇՏԱՊՍԱԿԱՐԿԵԼԻՏՐՎՈՒՄ Է ՆԱԵՎ ՎԱՐՁՈՎ3-х этажный каменный дом в самом центре ДилижанаСистема отопления BAXI, wi-fi, все коммуникацииЕсть отдельный гаражНа первом этаже есть подвал и две комнаты.На 2 этаже кухня, санузел, гостиная և 2 спальни.Гостиная на 3 этаже, 2 спальниДЛЯ ПОДРОБНОЙ ИНФОРМАЦИИ ПОЗВОНИТЕ В ЛЮБОЕ ВРЕМЯ ДНЯСРОЧНЫЙЦЕНА ДОГОВОРНАЯАРЕНДА ТАКЖЕ ВОЗМОЖНА3-storey stone house in the heart of DilijanBAXI heating system, wi-fi, with all utilitiesHas a separate garageThere is a basement and two rooms on the 1st floorOn the 2nd floor there is a kitchen, a bathroom, a living room և 2 bedroomsLiving room on the 3rd floor, 2 bedroomsCALL FOR DETAILED INFORMATION AT ANY TIME OF THE DAYURGENTNEGOTIABLEFOR RENT",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/17109068,
