Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Elevator,Parking,Room Area,Balcony,Floor,Links
House,Stone,150 sq.m.,3,5,2,Available,3 or more spots,Major Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"7,000 ֏ daily",AMD,"Ամանորին տրվում է 5 (հինգ) ննջասենյականոց տարբերակը (ընդհանուր 10 սենյակ), օրավարձը 130000դրամ, տվյալները և նկարները կուղարկեմ անձնականինՀյուրատուն ""Big House""Oրավարձով է տրվում առանձնատուն՝ պարուրված գեղեցիկ տեսարաններով:Տունը գտնվում է Դիլիջանի Թախտա թաղամասում ՝ մոտ է կենտրոնին / 5 ր / և անտառին / 10 ր / ։Կարող եք ոտքով արշավել անտառ կամ ուղղակի վայելել բնության ներկայությունը հյուրատան տարածքում: Հյուրատունը առանձնատան առաջին հարկն է ' բոլորովին առանձին, բարձր առաստաղներով, նորոգումը ' նոր, մյուս հարկերը վարձով չի տրվում ։Ունի առանձին մուտք, պարսպապատ տարածք, մեծ բակ, կանաչապատ այգի, տաղավար, լողավազան հավաքովի/, ավտոկայանատեղի /10 + մեքենա/, տրամադրվում է առաջնային անհրաժեշտության պարագաներ ։ Ունի երեք ննջասենյակ /8 + 2 տեղ /, երկու հյուրասենյակ, խոհանոց, ճաշասենյակ, երկու սանհանգույց, մեկ լոգարան, կոմունալ բոլոր հարմարություններով, կենտրոնական ջեռուցում ՝ Բաքսի համակարգ:Անձը ' 7000 դրամՕրավարձ' 70000 դրամ (9 և ավելիի դեպքում)Մուտքը 13-00 հետո/ցանկացած ժամի/Ելքը մինչև 12-00Дом расположен в лучшем районе город Дилижан, недалеко от центра / 5 мин / и леса / 10 мин /. Вы можете прогуляться по лесу или просто насладиться присутствием природы в гостевом доме. Гостевой дом полностью отделен / 1-й этаж /. Имеет отдельный вход, огороженная территория, отдельный большой двор, красивый сад, беседка, бассейн с собирающий, парковка бесплатная, обеспечены предметы первой необходимости. В нем три спальни /8 + 2 мест/, две гостиные, кухня, столовая, два санузла, одна ванна, со всеми коммунальными удобствами, центральное отопление: Система Baxi, Wi-Fi/Вблизи дома: Аптека и магазины продуктовые, детский садик, школа, остановка общественного транспорта.Место нахождения посмотреть на Гугл картыСдается как по суточному, так и по месячное",Nov-24-2022_23-00,"TElevision, internet, air conditioner, barbecue oven, gazebo, alarm system","FRidge, stove, coffee maker, washing machine, water heater, iron",,,,,,https://list.am/en/item/17818729
House,Stone,400 sq.m.,2,4,3+,,3 or more spots,Designer Renovation,3000 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"80,000 ֏ daily",AMD,"Monday - Thursday 80,000 dramsFriday-Sunday 100,000 dramsA luxurious and comfortable private house is for daily rent without an intermediary.The mansion has:SaunaSwimming poolFireplace️ 5 bedrooms️ Big hall5 bathrooms5 balconiesChildren's playroomKitchen, dishes, appliancesMangal, barbecue bottlesThe price also includes free fishing.Swings, mountains, canyons and lots of other good things...The mansion is located about 25 km from Dilijan in the village of Dprabak, it is designed for a maximum of 20 people.#oravardzovtun #villa #разопатнер #whitehouses #spitaktun #hyuratunspitaktun #dilijan_city #dilijan #qotejner #cottages #cottagesTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/16600807
House,Stone,200 sq.m.,1,4,2,Not available,Not available,Designer Renovation,1440 sq.m.,7,Yes,Yes,By Agreement,By Agreement,"4-й переулок улицы Орджоникидзе 2, Дилижан","50,000 ֏ daily",AMD,"Hangist Dilijanum/Առանձնատուն Դիլիջանում/ Дом в Дилижане/ Ամառանոց Դիլիջանում/ Дача в Дилижане/ Отдых в Дилижане/ Տուն Դիլիջանում / Դիլիջան / Հանգիստ Դիլիջանում / Դաչա Դիլիջանում / Дом / Дача / Отдых в Дилижане / Hangsti goti Dilijanum / Hangsti goti / Hangist / Дом в Дилижане / Дом в аренду /Отдых в Солнечном Дилижане. Долеко от городского шума ближе к лесу чистый воздух и красивый вид на горы. Имеется Wi-Fi, a тaкже видеoнаблюдeнием на территории. Уютный Дом на CУТКИ, HЕДЕЛЮ, МЕCЯЦ. Еcть вcе нeобxодимоe для кoмфортнoгo отдыха и проживaния.Для Baс: Позвонив по указанным номерам можно узнать у хозяина все не обходимое что интересует вас. Окончательная стоимость зависит от срока проживания и количествa человек... Отдых в Дилижане это всегда беспроигрышный вариант, ведь Дилижан - самый зеленый курорт Армении. Представляем вашему вниманию все отели, гостевые дома, дома отдыха и другие варианты туристического жилья самого зеленого уголка Армении Дилижана. Город Дилижан поистине называют армянской Швейцарией; это одно из излюбленных мест для семейного отдыха в Армении. Прекрасный пейзаж города и чистейший воздух оказывают положительное воздействие на отдыхающих. Город Дилижан и его окрестности богаты природными и историко-культурными достопримечательностями, что дает возможность совместить пассивный отдых в санаториях с экскурсиями и пешими походами. Здесь также находится Дилижанский национальный парк, который выделяется богатым и уникальным биоразнообразием. Среди множества отелей и домов отдыха, особой оценки туристов удостоились, множество семейный гостевых домов, гостиниц и жилья. Дилижан предлагает свои услуги как бизнесменам, так и туристам.",Nov-24-2022_23-00,"TElevision, internet, fireplace, gazebo","FRidge, stove, water heater, iron, hair dryer",,,,,,https://list.am/en/item/16606558
House,Stone,177 sq.m.,2,3,1,Available,Not available,Cosmetic Renovation,1700 sq.m.,7,Yes,Yes,Included,By Agreement,"Улица Камо 64А, Дилижан","35,000 ֏ daily",AMD,"Հանգիստ Դիլիջանում, Ամառանոց Դիլիջանում/ Дача в Дилижане Отдых в Дилижане, Hangist Dilijanum. Отдых в Армении г. Дилижан, природа, речка и чистый воздух и это все не выходя из дома. ԴԻԼԻՋԱՆ /// ДИЛИЖАН /// DILIJAN",Nov-24-2022_23-00,"TElevision, internet, fireplace, gazebo","FRidge, stove, washing machine, iron, hair dryer",,,,,,https://list.am/en/item/17138515
House,Stone,240 sq.m.,2,4,2,,,Designer Renovation,1000 sq.m.,,,,,,"Մյասնիկյան փողոց 142, Դիլիջան","60,000 ֏ daily",AMD,"A house in Dilijan with 4 bedrooms, one living room, kitchen, 2 bathrooms. The house is designed for 8-10 people. There is a pavilion for 15 people in the yard. For more information call. Guest house Private house. Cottage. HouseTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18066439
House,Stone,50 sq.m.,1,2,2,Available,3 or more spots,Euro Renovation,200 sq.m.,4,Yes,Yes,Not included,1 month,"Հակոբջանյան փողոց, Դիլիջան","190,000 ֏ monthly",AMD,"Сдается 2-ух комнатная дом. Каждая спальня имеет свой санузел. Постоянная холодная и горячая вода. Имеется кухня.На кухне газовая плита, умывальник, стиральная машина.WiFi 30mb (При желание до 100)Во дворе есть мангал и беседка.",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18369123
House,Stone,1000 sq.m.,3,8+,3+,,,Designer Renovation,,,,,,,Tavush › Dilijan,"1,000 ֏ daily",AMD,"Chill House:Great option and good environment.A private house with beautiful views is for rent.The house is located in the best district of Dilijan, 10 minutes close to the center. Is completely separate / 3-floor /. It has a separate entrance, a fenced area, a separate large yard, pavilions, both open and closed, a swimming pool.12-bedroomInternet: Wi-fi,smart tvsconstant hot and cold water,individual heating system (baxi),dishes,bedding.Closed and open pavilions for up to 50 people.In case of renting the whole house, more than 30 people can be accommodated overnight.It is possible to rent it for a long time.Admission from 14.00Departure until 12.00Spend your vacation in beautiful Dilijan.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/16982808
Country House,Stone,1000 sq.m.,3,8+,3+,,,Major Renovation,,,,,,,Tavush › Dilijan,"1,000 ֏ daily",AMD,"Guesthouse Jan Villas:Great option and good environment.A private house with beautiful views is for rent.The house is located in the best district of Dilijan, 10 minutes close to the center. The guest house is completely separate / 3-storey /. It has a separate entrance, a fenced area, a separate large yard, pavilions, both open and closed, a swimming pool.The house is given both as a whole and with separate floors.15-bedroomInternet: Wi-fi,smart tv,constant hot and cold water,individual heating system (baxi),dishes,bedding.Closed and open pavilions for up to 50 people.The 1st floor has a separate entrance: 6 bedrooms, a living room, a bathroom, TVs, a refrigerator and a sofa.The 2-3rd floors can be given together, it has a separate entrance: 9 bedrooms, a living room, 2 bathrooms, TVs, a refrigerator, a sofa and 2 balconies.If you rent the whole house, it can accommodate up to 30 people per night.The cost per person is 10 thousand drams.It is possible to rent it for a long time.Admission after 12:00 / any time /Departure until 12.00Spend your vacation in beautiful Dilijan.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/16701897
House,Stone,90 sq.m.,2,3,1,,,Cosmetic Renovation,1650 sq.m.,,,,,,Tavush › Dilijan,"25,000 ֏ daily",AMD,"A private house is for daily rent near Goshavank, in Dprabak community. The area is spread at the foot of the forest, in the beautiful valley of Getik river. One of the characteristics of the geographical location of the house is that it is locatedClear lake,Haghartsin monastic complex, Goshavank,Aghavnavank և:On the roads of Kalavan. Here are all the necessary conditions for rest.The house is only with its big yard, pavilions, swings, corner of the fireՏ UNDER YOUR MOOD.Designed for up to 15 people. Provided with all utilities, including constant hot and cold water, gas.Necessary dishes, barbecue bottles and wood.There is lighting under the pavilion, which will allow you to spend your rest until late in the evening in the lap of nature.We look forward to seeing you.Call in advance and register.Join us for more photos and videos:Green House on FacebookCheck in at 13:00Check aut at 11:00︎:Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/16229744
Country House,Stone,170 sq.m.,2,4,3+,Available,Not available,Designer Renovation,2000 sq.m.,7,Yes,No,Included,Without prepayment,"Parz Lich street, Dilijan station","50,000 ֏ daily",AMD,"The house or guest house is located in Dilijan, near Haghartsin, Parz-Lake and Goshavank highway. It has the following facilities: 3 bedrooms, 3 bathrooms, living room, kitchen, balconies, summer kitchen, pavilions, parking, balconies, children's games, green area, fireplaces, security guard, etc... Discounts in case of booking more than 2 days. It is also given for a monthly fee.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17596134
House,Bricks,90 sq.m.,1,3,1,,,Euro Renovation,1200 sq.m.,,,,,,Tavush › Teghut,"600,000 ֏ monthly",AMD,"""Aurora Villas"" Dilijan предлагает в долгосрочную аренду один из своих домов. Подробное описание и фото объекта можно посмотреть на Booking. Com.Возможна оплата в рублях!",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18368605
House,Stone,600 sq.m.,2,2,1,,,Major Renovation,700 sq.m.,6,Yes,No,Included,By Agreement,Tavush › Dilijan,"7,000 ֏ daily",AMD,A 2-storey stone house is for rent. Thoroughly reconstructed.Translated from Armenian,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18024191
House,Stone,110 sq.m.,1,2,1,,,Cosmetic Renovation,900 sq.m.,5,Yes,No,By Agreement,Without prepayment,Tavush › Dilijan,"30,000 ֏ daily",AMD,"""Haghartcin House"" guest house invites you to enjoy your unforgettable rest in the lap of nature. The house is equipped with all amenities.We are waiting for you with love.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18166169
House,Stone,180 sq.m.,2,3,1,Available,2 spots,Major Renovation,705 sq.m.,8+,Yes,No,By Agreement,2 months,"Kalinini street, Dilijan station","80,000 ֏ daily",AMD,"Private house for daily or long-term rent, there is a summer pavilion, swimming pool, fenced, car parking, WiFi, TV, heating, 2 bedrooms, 1 living room, barbecue.The guest house is designed for 11 people.Call in advance to book.Translated from Armenian",Nov-24-2022_23-00,"TElevision, internet, swimming pool, barbecue oven, gazebo, alarm system","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer",,,,,,https://list.am/en/item/18155822
Country House,Stone,100 sq.m.,1,3,2,,,Major Renovation,500 sq.m.,,,,,,"Maksim Gorky Street, Dilijan station","50,000 ֏ daily",AMD,"The house is located in Dilijan, next to the Central Bank, has all the conditions to make your vacation complete.It is a newly built private house, provided with all the conditions of comfort: Water, natural gas, electricity, new furniture, comfortable bathroom-kitchen, renovated, for daily rent.The daily fee is 50,000 dramsThe house has wi-fiLiving room with fireplace, new furniture (sofa bed)3 bedrooms with large beds (if desired we will add air mattresses)KitchenBathroom:BAXI systemBeautiful orchard, from where the beautiful nature of Dilijan opens.Hurry to book.Address: C. Dilijan, 25 Maxim GorkyTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17964743
House,Stone,153 sq.m.,2,3,1,Available,3 or more spots,Major Renovation,3210 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"35,000 ֏ daily",AMD,"Search:Real EstateRentalHousesHomeTwoTwo-story stone house in Dilijan, 142 square meters. M. , large plot, fully renovated40,000 per dayTavush › DilijanType:HouseBuilding typeStoneNumber of taxes2:Number of rooms4:Number of bathrooms1:Total area142 c. M.The surface of the land3400 sq. M.RepairThoroughly reconstructedOwn house in Dilijan with daily rent.The peculiarity of the house is that there is about 3500 m. Wind, a garden, which is completely located in a cozy corner of the forest, far from houses and the highway. There is a beautiful pavilion and a small pool for children. The park is located on the bank of the river, here you can hear only the gurgling of the river and chirping of birds.And the house is provided with all the necessary things.All you have to do is call, make a reservation and enjoy a real rest in the lap of nature.All customers will be provided with firewood in the evening.We are waiting for you with love.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18194788
